line,method,path,function_name,domain,risk,uses_storage,uses_safety,uses_mount,uses_subprocess,uses_runtime_write,candidate
4274,GET,/api/dev-dashboard/recent-evidence,dev_dashboard_recent_evidence,dev_dashboard,medium,no,no,no,no,no,no
4294,GET,/api/dev-dashboard/roadmap,dev_dashboard_roadmap,dev_dashboard,medium,no,no,no,no,no,no
4313,GET,/api/dev-dashboard/roadmap/areas,dev_dashboard_roadmap_areas,dev_dashboard,medium,no,no,no,no,no,no
4327,GET,/api/dev-dashboard/roadmap/milestones,dev_dashboard_roadmap_milestones,dev_dashboard,medium,no,no,no,no,no,no
4341,GET,/api/dev-dashboard/roadmap/blockers,dev_dashboard_roadmap_blockers,dev_dashboard,medium,no,no,no,no,no,no
4355,GET,/api/dev-dashboard/roadmap/decisions,dev_dashboard_roadmap_decisions,dev_dashboard,medium,no,no,no,no,no,no
4369,GET,/api/dev-dashboard/roadmap/next-prompt,dev_dashboard_roadmap_next_prompt,dev_dashboard,medium,no,no,no,no,no,no
4384,GET,/api/dev-dashboard/roadmap/next-prompts,dev_dashboard_roadmap_next_prompts,dev_dashboard,medium,no,no,no,no,no,no
4399,GET,/api/dev-dashboard/roadmap/export-next-prompt/{prompt_id},dev_dashboard_roadmap_export_next_prompt,dev_dashboard,medium,no,no,no,no,no,no
4411,GET,/api/dev-dashboard/rescue-build/status,dev_dashboard_rescue_build_status,dev_dashboard,low,no,no,no,no,no,no
4452,GET,/api/dev-dashboard/rescue-iso/status,dev_dashboard_rescue_iso_status,dev_dashboard,low,no,no,no,no,no,no
4464,POST,/api/dev-dashboard/rescue-iso/step,dev_dashboard_rescue_iso_step,dev_dashboard,medium,no,no,no,no,no,no
4475,GET,/api/dev-dashboard/rescue-iso/step/{action_id},dev_dashboard_rescue_iso_step_status,dev_dashboard,medium,no,no,no,no,no,no
4486,POST,/api/dev-dashboard/rescue-iso/operator-commands/sudo-clean,dev_dashboard_rescue_iso_operator_commands_sudo_clean,dev_dashboard,medium,no,no,no,no,no,no
4499,POST,/api/dev-dashboard/rescue-iso/operator-commands/build,dev_dashboard_rescue_iso_operator_commands_build,dev_dashboard,medium,no,no,no,no,no,no
4512,GET,/api/dev-dashboard/rescue-usb/candidates,dev_dashboard_rescue_usb_candidates,dev_dashboard,medium,no,no,no,no,no,no
4524,GET,/api/dev-dashboard/rescue-usb/selection,dev_dashboard_rescue_usb_selection_get,dev_dashboard,medium,no,no,no,no,no,no
4539,POST,/api/dev-dashboard/rescue-usb/selection,dev_dashboard_rescue_usb_selection_post,dev_dashboard,medium,no,no,no,no,no,no
4566,GET,/api/dev-dashboard/notifications/status,dev_dashboard_notifications_status,dev_dashboard,low,no,no,no,no,no,no
4578,GET,/api/dev-dashboard/notifications/events,dev_dashboard_notifications_events,dev_dashboard,medium,no,no,no,no,no,no
4590,POST,/api/dev-dashboard/notifications/test-dashboard,dev_dashboard_notifications_test_dashboard,dev_dashboard,medium,no,no,no,no,no,no
4621,POST,/api/dev-dashboard/notifications/test-email,dev_dashboard_notifications_test_email,dev_dashboard,medium,no,no,no,no,no,no
4677,GET,/api/dev-dashboard/deploy/status,dev_dashboard_deploy_status,dev_dashboard,high,no,no,no,no,no,no
4688,POST,/api/dev-dashboard/deploy/request,dev_dashboard_deploy_request,dev_dashboard,high,no,no,no,no,no,no
4699,GET,/api/dev-dashboard/deploy/logs,dev_dashboard_deploy_logs,dev_dashboard,high,no,no,no,no,no,no
4710,POST,/api/dev-dashboard/deploy/operator-setup-commands,dev_dashboard_deploy_operator_setup_commands,dev_dashboard,high,no,no,no,no,no,no
4723,GET,/api/dev-dashboard/update/status,dev_dashboard_update_status,dev_dashboard,low,no,no,no,no,no,no
4735,GET,/api/dev-dashboard/packaging/readiness,dev_dashboard_packaging_readiness,dev_dashboard,medium,no,no,no,no,no,no
4745,GET,/api/dev-dashboard/project-overview,dev_dashboard_project_overview,dev_dashboard,medium,no,no,no,no,no,no
4755,POST,/api/dev-dashboard/actions/restart-backend,dev_dashboard_action_restart_backend,dev_dashboard,medium,no,no,no,no,no,no
4762,POST,/api/dev-dashboard/actions/start-backup,dev_dashboard_action_start_backup,dev_dashboard,high,no,no,no,no,no,no
4769,GET,/api/dev-dashboard/prompt-findings,dev_dashboard_prompt_findings,dev_dashboard,medium,no,no,no,no,no,no
4790,GET,/api/dev-dashboard/cursor-meta-prompt,dev_dashboard_cursor_meta_prompt,dev_dashboard,medium,no,no,no,no,no,no
4812,POST,/api/ai/prompt/generate,ai_prompt_generate_stub,unknown,medium,no,no,no,no,no,no
4845,GET,/api/system/service-conflicts,get_service_conflicts,runtime,medium,no,no,no,no,no,maybe
4872,GET,/api/self-update/status,self_update_status,unknown,low,no,no,no,no,no,maybe
4907,POST,/api/self-update/install,self_update_install,unknown,high,no,no,no,yes,no,no
4974,GET,/api/update-center/status,update_center_status,unknown,low,no,no,no,no,no,maybe
5010,POST,/api/update-center/check-compatibility,update_center_check_compatibility,unknown,medium,no,no,no,no,no,no
5027,GET,/api/update-center/release-readiness,update_center_release_readiness,unknown,medium,no,no,no,yes,no,maybe
5041,POST,/api/update-center/build-deb,update_center_build_deb,unknown,medium,no,no,no,yes,no,no
5104,GET,/api/update-center/history,update_center_history,unknown,medium,no,no,no,no,no,maybe
5125,GET,/api/apps,get_apps,unknown,medium,no,no,no,no,no,maybe
